Tỉnh thành,Ca nhiễm,Tử vong,Ca mắc mới
Cả nước,11.549.848,42.789,140
Yên Bái,158.046,13,6
Vĩnh Phúc,375.686,19,0
Vĩnh Long,103.505,829,0
Tuyên Quang,147.582,14,0
Trà Vinh,75.174,115,0
TP. Hồ Chí Minh,629.018,19.985,3
Tiền Giang,39.902,1.29,0
Thừa Thiên Huế,48.186,173,6
Thanh Hóa,178.595,109,2
Thái Nguyên,347.519,112,1
Thái Bình,296.789,23,0
Tây Ninh,140.444,944,0
Sơn La,153.602,0,8
Sóc Trăng,34.457,634,0
Quảng Trị,86.293,38,3
Quảng Ninh,356.404,150,7
Quảng Ngãi,50.513,127,0
Quảng Nam,49.556,150,0
Quảng Bình,129.648,74,13
Phú Yên,44.481,137,0
Phú Thọ,331.52,97,4
Ninh Thuận,9.001,60,0
Ninh Bình,104.8,93,0
Nghệ An,502.049,145,11
Nam Định,301.101,150,1
Long An,50.297,1.088,0
Lâm Đồng,98.238,141,0
Lào Cai,188.846,38,0
Lạng Sơn,160.752,85,0
Lai Châu,75.519,0,1
Kon Tum,26.342,1,0
Kiên Giang,43.659,1.027,0
Khánh Hòa,122.036,364,4
Hưng Yên,244.028,5,2
Hoà Bình,239.941,102,1
Hậu Giang,17.9,231,0
Hải Phòng,537.527,138,5
Hải Dương,372.391,117,5
Hà Tĩnh,55.279,50,0
Hà Nội,1.646.923,1.232,2
Hà Nam,91.467,65,3
Hà Giang,122.61,80,0
Gia Lai,70.961,116,0
Đồng Tháp,51.614,1.007,6
Đồng Nai,107.518,1.903,0
Điện Biên,90.757,23,26
Đắk Nông,73.427,47,0
Đắk Lắk,172.439,201,0
Đà Nẵng,108.712,338,0
Cần Thơ,76.925,958,0
Cao Bằng,99.051,59,3
Cà Mau,147.734,357,2
Bình Thuận,54.3,482,0
Bình Phước,120.003,224,1
Bình Định,139.89,281,6
Bình Dương,325.667,3.519,4
Bến Tre,99.799,490,0
Bắc Ninh,353.869,136,0
Bắc Kạn,77.048,19,2
Bắc Giang,391.44,92,0
Bạc Liêu,46.949,470,0
Bà Rịa - Vũng Tàu,110.822,497,2
An Giang,43.297,1.325,0
,,,
